UserID,Gender,Age,Height,Weight,Duration,HeartRate,BodyTemp,Calories
14733363,male,68,190,94,29,105,40.8,231
14861698,female,20,166,60,14,94,40.3,66
11179863,male,69,179,79,5,88,38.7,26
16180408,female,34,179,71,13,100,40.5,71
17771927,female,27,154,58,10,81,39.8,35
15130815,female,36,151,50,23,96,40.7,123
19602372,female,33,158,56,22,95,40.5,112
11117088,male,41,175,85,25,100,40.7,143
12132339,male,60,186,94,21,97,40.4,134
17964668,female,26,146,51,16,90,40.2,72
13723164,female,36,177,76,1,74,37.8,3
13681290,female,21,157,56,17,100,40,92
15566424,male,66,171,79,11,90,40,58
12891699,female,32,157,54,18,93,40.4,88
13823829,male,53,182,85,2,82,38.1,7